70	107245	4.0	1|3
70	108745	4.0	0|2
70	108975	4.0	0|2
70	112213	3.0	0|3
70	113261	4.0	0|1
70	114252	5.0	0|3
70	115379	5.0	0|2
70	115678	3.0	0|2
70	117125	3.0	1|1
70	104870	3.0	0|3
70	123531	3.0	0|2
70	123586	4.0	0|2
70	125671	4.0	0|3
71	100071	5.0	0|1
71	110704	3.0	0|2
72	100072	3.0	0|1
72	103294	4.0	0|3
72	110466	5.0	0|1
72	113208	3.0	0|1
72	115255	4.0	0|2
73	100073	4.0	0|1
73	102244	4.0	0|1
73	117102	3.0	1|1
74	100074	5.0	0|1
75	100075	5.0	0|1
75	104173	5.0	0|3
75	105890	5.0	1|3
75	108172	4.0	0|0
75	119092	4.0	1|1
75	122209	4.0	0|3
75	123961	5.0	0|3
