218	100220	4	0|2
219	100221	4	0|2
220	100178	4	0|2
221	100222	5	0|2
222	100223	4	0|2
223	100224	5	0|2
224	100225	4	0|2
225	100226	4	0|2
226	100227	5	0|2
227	100228	5	0|2
228	100229	4	0|2
229	100230	5	0|2
230	100231	4	0|2
231	100232	5	0|2
232	100233	4	0|2
233	100234	3	0|2
234	100235	3	0|2
235	100236	5	0|2
236	100237	4	0|2
237	100238	4	0|2
238	100239	5	0|2
239	100240	3	0|2
240	100241	4	0|2
241	100242	5	0|2
144	100243	4	0|2
242	100244	5	0|2
243	100245	5	0|2
244	100246	4	0|2
245	100247	2	0|2
246	100248	3	0|2
247	100249	1	0|2
248	100250	4	0|2
205	100251	5	0|2
249	100252	4	0|2
250	100062	5	0|2
251	100253	4	0|2
252	100089	4	0|2
253	100254	5	0|2
254	100255	5	0|2
255	100256	4	0|2
106	100257	5	0|2
256	100258	3	0|2
257	100259	5	0|2
258	100260	4	0|2
213	100261	3	0|2
108	100262	3	0|2
259	100263	4	0|2
260	100264	4	0|2
261	100265	4	0|2
262	100266	4	0|2
263	100267	3	0|2
264	100268	4	0|2
265	100269	4	0|2
266	100270	2	0|2
267	100207	5	0|2
268	100271	5	0|2
269	100272	2	0|2
270	100273	4	0|2
82	100274	4	0|2
271	100275	5	0|2
272	100276	4	0|2
273	100277	3	0|2
274	100278	3	0|2
275	100279	3	0|2
276	100280	5	0|2
277	100281	4	0|2
278	100282	4	0|2
279	100283	3	0|2
280	100284	4	0|2
281	100285	4	0|2
282	100286	5	0|2
283	100287	2	0|2
284	100288	5	0|2
285	100289	4	0|2
286	100290	3	0|2
287	100291	5	0|2
288	100292	5	0|2
289	100293	5	0|2
290	100294	5	0|2
291	100089	5	0|2
292	100295	4	0|2
293	100296	5	0|2
294	100297	2	0|2
295	100298	4	0|2
296	100299	5	0|2
297	100141	5	0|2
298	100300	2	0|2
299	100301	5	0|2
300	100302	5	0|2
301	100303	5	0|2
302	100304	4	0|2
303	100305	4	0|2
304	100306	3	0|2
305	100307	5	0|2
306	100308	3	0|2
307	100309	5	0|2
308	100310	5	0|2
309	100311	5	0|2
310	100231	4	0|2
311	100312	3	0|2
312	100313	5	0|2
182	100314	3	0|2
313	100315	3	0|2
314	100316	4	0|2
315	100317	5	0|2
316	100318	4	0|2
317	100319	2	0|2
318	100277	5	0|2
319	100320	5	0|2
320	100321	4	0|2
321	100322	5	0|2
322	100323	5	0|2
323	100324	4	0|2
324	100325	4	0|2
325	100326	5	0|2
220	100327	3	0|2
326	100328	3	0|2
80	100329	3	0|2
327	100330	3	0|2
328	100331	4	0|2
329	100332	5	0|2
330	100333	5	0|2
331	100334	4	0|2
332	100335	4	0|2
333	100336	4	0|2
334	100337	3	0|2
335	100338	4	0|2
336	100339	5	0|2
337	100340	4	0|2
338	100341	4	0|2
339	100342	3	0|2
340	100343	3	0|2
341	100344	5	0|2
342	100345	4	0|2
343	100346	5	0|2
344	100347	5	0|2
345	100339	5	0|2
346	100047	3	0|2
281	100348	4	0|2
347	100349	4	0|2
348	100350	3	0|2
349	100251	5	0|2
350	100311	5	0|2
351	100351	4	0|2
352	100352	4	0|2
353	100353	5	0|2
354	100344	5	0|2
355	100354	4	0|2
356	100353	5	0|2
357	100355	5	0|2
358	100356	5	0|2
359	100357	5	0|2
360	100358	5	0|2
361	100359	4	0|2
362	100360	4	0|2
363	100361	4	0|2
364	100362	4	0|2
365	100363	3	0|2
366	100364	5	0|2
367	100365	5	0|2
368	100366	4	0|2
369	100367	4	0|2
370	100368	4	0|2
371	100369	3	0|2
372	100370	5	0|2
373	100371	3	0|2
374	100372	4	0|2
375	100218	4	0|2
376	100373	3	0|2
377	100374	3	0|2
378	100375	2	0|2
379	100376	4	0|2
380	100377	5	0|2
381	100378	4	0|2
382	100379	3	0|2
383	100380	3	0|2
384	100376	4	0|2
385	100381	5	0|2
386	100382	5	0|2
387	100383	5	0|2
388	100384	5	0|2
389	100385	3	0|2
390	100386	4	0|2
391	100387	4	0|2
392	100388	2	0|2
393	100380	3	0|2
394	100389	4	0|2
395	100390	5	0|2
396	100391	5	0|2
397	100392	4	0|2
398	100393	5	0|2
399	100394	5	0|2
400	100395	5	0|2
401	100396	5	0|2
402	100397	3	0|2
403	100398	4	0|2
404	100399	4	0|2
405	100400	5	0|2
406	100401	3	0|2
407	100402	5	0|2
408	100403	4	0|2
409	100404	5	0|2
410	100405	4	0|2
411	100380	3	0|2
412	100406	4	0|2
413	100407	2	0|2
414	100061	4	0|2
415	100408	5	0|2
416	100409	3	0|2
417	100410	4	0|2
418	100389	4	0|2
419	100380	3	0|2
420	100411	4	0|2
421	100412	3	0|2
422	100413	5	0|2
423	100414	3	0|2
424	100415	4	0|2
425	100383	3	0|2
248	100416	4	0|2
426	100417	5	0|2
427	100418	4	0|2
428	100419	3	0|2
429	100231	3	0|2
430	100321	4	0|2
431	100420	5	0|2
432	100421	4	0|2
433	100422	4	0|2
434	100423	5	0|2
435	100424	5	0|2
436	100425	5	0|2
437	100426	4	0|2
438	100427	4	0|2
439	100428	4	0|2
440	100382	4	0|2
441	100429	3	0|2
442	100430	4	0|2
443	100431	5	0|2
444	100178	5	0|2
445	100432	4	0|2
446	100433	4	0|2
447	100434	4	0|2
448	100435	2	0|2
449	100436	4	0|2
450	100437	5	0|2
451	100168	5	0|2
452	100438	5	0|2
453	100439	4	0|2
454	100440	4	0|2
